country,year,life_expectancy,forest_pct,urban_pct
Rwanda,2023,67.785,11.3092825293879,28.8555310645477
Samoa,2023,71.698,57.636690647482,17.5012799804602
San Marino,2023,85.706,16.6666666666667,97.1317310361655
Sao Tome and Principe,2023,69.718,52.125,68.6043921103568
Saudi Arabia,2023,78.732,0.454484134921779,84.2962388315415
Senegal,2023,68.683,41.2827091881785,54.6992276190794
Serbia,2023,76.1414634146341,32.3896349149721,62.1434649229738
Seychelles,2023,75.419512195122,73.2608695652174,45.0971081321658
Sierra Leone,2023,61.786,34.2988362427265,44.809324991151
Singapore,2023,83.0975609756098,20.933147632312,100
Sint Maarten (Dutch part),2023,76.371,10.8823529411765,100
Slovak Republic,2023,78.119512195122,40.05615640599,53.190805019646
Slovenia,2023,81.9292682926829,61.1748938389332,55.5378927789875
Small states,2023,72.9130400157843,NA,51.7493987022104
Solomon Islands,2023,70.528,90.0600214362272,30.0088821088389
"Somalia, Fed. Rep.",2023,58.816,9.16528517231485,54.0714435506882
South Africa,2023,66.139,13.965072665672,63.5823705163545
South Asia,2023,72.3247648783903,NA,35.137165500664
South Asia (IDA & IBRD),2023,72.3247648783903,NA,35.137165500664
South Sudan,2023,57.617,11.3256215087114,21.0737755279692
Spain,2023,83.9341463414634,37.1925889548355,80.128491001856
Sri Lanka,2023,77.483,34.0048496605238,20.1455348442463
St. Kitts and Nevis,2023,72.145,42.3076923076923,31.7007809622822
St. Lucia,2023,72.697,34.0491803278688,29.0976313248036
St. Martin (French part),2023,80.224,24.8,100
St. Vincent and the Grenadines,2023,71.23,73.1794871794872,47.7169922340041
Sub-Saharan Africa,2023,62.6028583619521,NA,43.6392284682928
Sub-Saharan Africa (excluding high income),2023,62.0653637736909,NA,45.980688615295
Sub-Saharan Africa (IDA & IBRD countries),2023,62.6028583619521,NA,43.6392284682928
Sudan,2023,66.331,9.55196466809422,34.7960076976764
Suriname,2023,73.631,94.44758351333,65.7562408447266
Sweden,2023,83.309756097561,68.7013529108454,88.631216160938
Switzerland,2023,84.1560975609756,32.3827380818297,85.1854212679815
Syrian Arab Republic,2023,72.12,2.84310842454937,72.1673803143204
Tajikistan,2023,71.79,3.07514950644859,26.1890127571429
Tanzania,2023,66.995,50.0541883043576,35.4748019434954
Thailand,2023,76.412,38.6873886746658,60.9341926574707
Timor-Leste,2023,67.689,61.6610625420309,28.595471832952
Togo,2023,62.74,22.0700496414782,43.2496853032436
Tonga,2023,72.895,12.4305555555556,21.147944541337
Trinidad and Tobago,2023,73.49,44.2358674463938,53.9536842104572
Tunisia,2023,76.508,4.55278063851699,70.0266686486584
Turkiye,2023,77.156,29.4795681041539,89.0218446796121
Turkmenistan,2023,70.073,8.78215904496414,47.0678875054171
Turks and Caicos Islands,2023,78.008,11.0736842105263,93.9324513656818
Tuvalu,2023,67.105,33.3333333333333,64.0117206689787
Uganda,2023,68.252,11.0419703770197,30.6059359395495
Ukraine,2023,73.422,16.7552640662755,69.4754455027606
United Arab Emirates,2023,82.909,4.46775556181357,85.6680699002526
United Kingdom,2023,81.2380975609756,13.2907130161617,83.1601932891335
United States,2023,78.3853658536585,33.8669264120375,80.071561119178
Upper middle income,2023,76.1947274320673,NA,69.2696280991238
Uruguay,2023,78.138,11.9643469317792,95.5439605712891
Uzbekistan,2023,72.388,8.54914331101781,50.9964841114568
Vanuatu,2023,71.477,36.2838392124692,22.2651966823901
"Venezuela, RB",2023,72.514,52.2338793719177,89.249627620225
Viet Nam,2023,74.588,47.4454820708996,38.1298904418945
Virgin Islands (U.S.),2023,80.519512195122,58.1714285714286,95.2740790945924
West Bank and Gaza,2023,65.17,1.68298755186722,86.8576870415886
World,2023,73.3288401042825,NA,57.3099507018106
"Yemen, Rep.",2023,69.295,1.03983180862549,36.5707979836506
Zambia,2023,66.349,59.523784150984,45.0285853521585
Zimbabwe,2023,62.775,44.7366421093447,39.2919370795795
